ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
FZGL-WDTB(1)[M],4661,1,1,True,True,"[1, 3, 0, 2, -1, 0, 1, 0, 0, 2, -1, 1, 2, -1, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.1046999990940094, 0.3172999918460846, 0.311599999666214, 0.36480000615119934, 0.35109999775886536, 0.30959999561309814, 0.3815999925136566, 0.3416999876499176, 0.3736000061035156, 0.3059000074863434, 0.4185999929904938, 0.26660001277923584, 0.446399986743927, 0.46380001306533813, 0.38929998874664307, 0.3206000030040741, 0.45239999890327454, 0.4413999915122986, 0.37880000472068787, 0.38359999656677246]","[2.8842668533325195, 1.7929307222366333, 1.8111279010772705, 1.6948695182800293, 1.7607070207595825, 1.9571903944015503, 1.657090187072754, 1.7483562231063843, 1.6544057130813599, 1.8407046794891357, 1.6341516971588135, 2.137913942337036, 1.4981404542922974, 1.463391661643982, 1.6698909997940063, 1.8588420152664185, 1.4709961414337158, 1.5165581703186035, 1.6640836000442505, 1.6610894203186035]",0.3835999965667724,1.6610894203186035,26513982,413.52476954460144,100394,NONE,NONE,NONE,NONE,"[1, 3, 0, 2, -1, 0, 1, 0, 0, 1, 3, 0, 1, 3, 1, 2, -1, 0, 5, 1, 0]",-1,-1,6,3,1,10,5,False,False
EEVG,42,1,1,False,False,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.20260000228881836, 0.550000011920929, 0.5281000137329102, 0.5223000049591064, 0.5321999788284302, 0.5065000057220459, 0.5608999729156494, 0.6176999807357788, 0.6241999864578247, 0.6164000034332275, 0.5641000270843506, 0.6606000065803528, 0.684499979019165, 0.6542999744415283, 0.6208000183105469, 0.6589999794960022, 0.5820000171661377, 0.656000018119812, 0.6007000207901001, 0.5874000191688538]","[2.6930322647094727, 1.2635011672973633, 1.364019513130188, 1.391830325126648, 1.4410480260849, 1.5440090894699097, 1.2748090028762817, 1.110552430152893, 1.126145362854004, 1.1478606462478638, 1.3619378805160522, 0.963050127029419, 0.8940367102622986, 1.0154376029968262, 1.0994621515274048, 1.0105040073394775, 1.3325282335281372, 1.0024361610412598, 1.2197277545928955, 1.2883532047271729]",0.5874000191688538,1.2883532047271729,16856686,355.6193940639496,572010,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
TPSL,42,1,1,False,False,"[1, 3, 1, 1, 1, 0, 1, 3, 0, 1, 2, 0, 2, -1, 1, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.3953999876976013, 0.5950999855995178, 0.6136999726295471, 0.5627999901771545, 0.6521999835968018, 0.7010999917984009, 0.6958000063896179, 0.7103999853134155, 0.7074000239372253, 0.7218000292778015, 0.71670001745224, 0.7225000262260437, 0.7206000089645386, 0.6628999710083008, 0.7653999924659729, 0.7914999723434448, 0.7791000008583069, 0.798799991607666, 0.760699987411499, 0.7573999762535095]","[1.8691058158874512, 1.1010336875915527, 1.0879311561584473, 1.387892723083496, 0.995276689529419, 0.8594478368759155, 0.859390139579773, 0.8209060430526733, 0.8463136553764343, 0.8121550679206848, 0.8149884939193726, 0.8271154165267944, 0.8281326293945312, 1.0829054117202759, 0.6725832223892212, 0.6008403897285461, 0.6467477083206177, 0.5873935222625732, 0.712758481502533, 0.7369837164878845]",0.7573999762535095,0.7369837164878845,678347614,556.5332057476044,4991562,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
DVIG,42,1,1,False,False,"[1, 0, 0, 1, 3, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.4499000012874603, 0.4323999881744385, 0.5515000224113464, 0.6345999836921692, 0.7289000153541565, 0.6998999714851379, 0.676800012588501, 0.7174999713897705, 0.7390000224113464, 0.7524999976158142, 0.7735999822616577, 0.7591999769210815, 0.7973999977111816, 0.7598999738693237, 0.7760999798774719, 0.7623000144958496, 0.8027999997138977, 0.8191999793052673, 0.7875000238418579, 0.7949000000953674]","[1.5272356271743774, 2.16983699798584, 1.4722591638565063, 1.1351369619369507, 0.7786501049995422, 0.8861949443817139, 0.9414934515953064, 0.8452250957489014, 0.7866487503051758, 0.7478817105293274, 0.7057641744613647, 0.7336028814315796, 0.5946018099784851, 0.7579025626182556, 0.687170684337616, 0.7421080470085144, 0.5925197601318359, 0.5513285398483276, 0.703409731388092, 0.6749846935272217]",0.7949000000953674,0.6749846935272217,3546466110,1238.0033473968506,12161610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VVAP,42,1,1,False,False,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 3, 0, 2, -1, 0, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2484000027179718, 0.5751000046730042, 0.557699978351593, 0.37369999289512634, 0.6280999779701233, 0.6881999969482422, 0.5893999934196472, 0.593999981880188, 0.5597000122070312, 0.7307000160217285, 0.6723999977111816, 0.7264999747276306, 0.715399980545044, 0.7116000056266785, 0.6367999911308289, 0.6786999702453613, 0.7276999950408936, 0.6934000253677368, 0.72079998254776, 0.723800003528595]","[2.124788284301758, 1.203011155128479, 1.2965919971466064, 2.61468243598938, 1.04975426197052, 0.8701083064079285, 1.2508881092071533, 1.2925671339035034, 1.4827885627746582, 0.778516948223114, 0.9924301505088806, 0.7944782972335815, 0.8750705122947693, 0.8695884943008423, 1.1268199682235718, 1.010832667350769, 0.8090114593505859, 0.9851360321044922, 0.8602301478385925, 0.8886444568634033]",0.723800003528595,0.8886444568634033,76307518,375.94135999679565,1644010,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
FUUV,42,1,1,False,False,"[1, 0, 1, 2, -1, 0, 1, 3, 1, 1, 1, 1, 1, 0, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.40630000829696655, 0.5450000166893005, 0.48739999532699585, 0.5784000158309937, 0.6039999723434448, 0.6298999786376953, 0.4674000144004822, 0.6514000296592712, 0.5931000113487244, 0.6459000110626221, 0.718500018119812, 0.6523000001907349, 0.5552999973297119, 0.5536999702453613, 0.762499988079071, 0.7110000252723694, 0.6574000120162964, 0.7060999870300293, 0.6545000076293945, 0.707099974155426]","[1.7569907903671265, 1.242074966430664, 1.6174269914627075, 1.2489492893218994, 1.1339322328567505, 1.0492401123046875, 1.7443578243255615, 1.006345272064209, 1.205101490020752, 1.0586825609207153, 0.8250901103019714, 1.0816385746002197, 1.4628854990005493, 1.494544267654419, 0.6886139512062073, 0.8369503021240234, 1.096218228340149, 0.8816197514533997, 1.121801495552063, 0.9287436604499817]",0.707099974155426,0.9287436604499816,165724574,386.83630871772766,1693418,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
QRXM,42,1,1,False,False,"[1, 3, 1, 1, 0, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.28529998660087585, 0.5745999813079834, 0.5763000249862671, 0.6043000221252441, 0.6446999907493591, 0.6550999879837036, 0.6586999893188477, 0.6556000113487244, 0.7181000113487244, 0.6873999834060669, 0.7229999899864197, 0.7228999733924866, 0.7372000217437744, 0.6941999793052673, 0.7024999856948853, 0.7569000124931335, 0.7940999865531921, 0.7495999932289124, 0.8001000285148621, 0.7910000085830688]","[1.9868037700653076, 1.2243884801864624, 1.2505333423614502, 1.144113540649414, 1.0479991436004639, 0.9927970767021179, 1.003709316253662, 0.993381142616272, 0.8257899284362793, 0.9448772668838501, 0.8367407917976379, 0.8361819386482239, 0.7678684592247009, 0.9566487073898315, 0.9579030275344849, 0.7231139540672302, 0.6117668151855469, 0.765313982963562, 0.5894287824630737, 0.623691737651825]",0.7910000085830688,0.623691737651825,289203022,497.53073525428766,8308682,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
JSMJ,42,1,1,False,False,"[1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 0, 1, 2, -1, 1, 1, 1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.15289999544620514, 0.3003000020980835, 0.5088000297546387, 0.5435000061988831, 0.5644000172615051, 0.5202000141143799, 0.4043000042438507, 0.6588000059127808, 0.6055999994277954, 0.6190999746322632, 0.6913999915122986, 0.5037000179290771, 0.7448999881744385, 0.7143999934196472, 0.4986000061035156, 0.6212000250816345, 0.6729999780654907, 0.6636000275611877, 0.6721000075340271, 0.7299000024795532]","[3.1511621475219727, 2.376925468444824, 1.4411892890930176, 1.3779257535934448, 1.3059099912643433, 1.6513409614562988, 2.333420991897583, 0.9583777189254761, 1.2261714935302734, 1.1792775392532349, 0.8950143456459045, 1.7439392805099487, 0.7165166735649109, 0.8078239560127258, 1.7458581924438477, 1.2354414463043213, 0.9763778448104858, 1.0335739850997925, 0.9734615087509155, 0.7817708253860474]",0.7299000024795532,0.7817708253860474,68469598,387.0376400947571,1445002,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
SDSV,42,1,1,False,False,"[1, 1, 1, 1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 0, 0, 1, 0, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2289000004529953, 0.47119998931884766, 0.5361999869346619, 0.5769000053405762, 0.6273999810218811, 0.6827999949455261, 0.6371999979019165, 0.5390999913215637, 0.673799991607666, 0.6942999958992004, 0.6503000259399414, 0.6733999848365784, 0.6047999858856201, 0.7379999756813049, 0.7487999796867371, 0.7383000254631042, 0.7305999994277954, 0.7674999833106995, 0.7706999778747559, 0.7818999886512756]","[2.4249889850616455, 1.6549347639083862, 1.4393177032470703, 1.284087061882019, 1.0850082635879517, 0.9111580848693848, 1.0237720012664795, 1.713430643081665, 0.9865092039108276, 0.9266921877861023, 1.117274284362793, 1.048221230506897, 1.3936330080032349, 0.7780665755271912, 0.7472159266471863, 0.8273261785507202, 0.8017266988754272, 0.6788636445999146, 0.6988404989242554, 0.6309739947319031]",0.7818999886512756,0.6309739947319031,221934558,431.15454053878784,2391690,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LOCR,42,1,1,False,False,"[1, 0, 1, 1, 3, 1, 1, 3, 0, 1, 2, 0, 2, -1, 1, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.39559999108314514, 0.4007999897003174, 0.5067999958992004, 0.6057000160217285, 0.5874000191688538, 0.5817999839782715, 0.4401000142097473, 0.6593999862670898, 0.6312000155448914, 0.6639000177383423, 0.7038000226020813, 0.6948000192642212, 0.7678999900817871, 0.6546000242233276, 0.6685000061988831, 0.7560999989509583, 0.7364000082015991, 0.7502999901771545, 0.7657999992370605, 0.720300018787384]","[1.7352977991104126, 2.1184818744659424, 1.357161283493042, 1.159543514251709, 1.212925910949707, 1.2256790399551392, 2.2804131507873535, 0.9723038077354431, 1.1139140129089355, 0.987572431564331, 0.8897232413291931, 0.9031339883804321, 0.6807578206062317, 1.184129238128662, 1.1134575605392456, 0.716765820980072, 0.7847610116004944, 0.7741135954856873, 0.7067393660545349, 0.9303495287895203]",0.720300018787384,0.9303495287895204,1145032094,688.8873488903046,2293578,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GKAD,42,1,1,False,False,"[1, 2, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.18369999527931213, 0.5577999949455261, 0.4945000112056732, 0.6252999901771545, 0.5809999704360962, 0.6818000078201294, 0.5777000188827515, 0.6977999806404114, 0.6420999765396118, 0.6638000011444092, 0.7674999833106995, 0.6304000020027161, 0.744700014591217, 0.7116000056266785, 0.6891000270843506, 0.6973000168800354, 0.7669000029563904, 0.7754999995231628, 0.7103000283241272, 0.7498000264167786]","[2.6357715129852295, 1.2950830459594727, 1.5112708806991577, 1.0404800176620483, 1.2949894666671753, 0.9034506678581238, 1.3803110122680664, 0.8674134612083435, 1.0795327425003052, 1.0676461458206177, 0.6729391813278198, 1.197884440422058, 0.7501919865608215, 0.8581525683403015, 0.9662581086158752, 0.9885104298591614, 0.6887742877006531, 0.6514818072319031, 0.9512679576873779, 0.7804979681968689]",0.7498000264167786,0.7804979681968689,331371390,546.0840063095093,4519082,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ZHXY,42,1,1,False,False,"[1, 0, 1, 1, 1, 0, 2, -1, 0, 1, 1, 0, 1, 3, 0, 1, 0, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.43140000104904175, 0.5795999765396118, 0.6442999839782715, 0.5673999786376953, 0.6761999726295471, 0.6614000201225281, 0.621399998664856, 0.7095999717712402, 0.5878999829292297, 0.7077000141143799, 0.7031999826431274, 0.6561999917030334, 0.7702999711036682, 0.7689999938011169, 0.7139000296592712, 0.7396000027656555, 0.7786999940872192, 0.8009999990463257, 0.7551000118255615, 0.7091000080108643]","[1.5811631679534912, 1.1979420185089111, 1.0363411903381348, 1.3099807500839233, 0.9429492950439453, 0.9980048537254333, 1.20994234085083, 0.8744291067123413, 1.3030061721801758, 0.8397747278213501, 0.8901665806770325, 1.0782479047775269, 0.6737688183784485, 0.6818981766700745, 0.914443850517273, 0.8134682774543762, 0.658408522605896, 0.5822020769119263, 0.7686794996261597, 0.9737863540649414]",0.7091000080108643,0.9737863540649414,123364318,400.9096472263336,2513194,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IITR,42,1,1,False,False,"[1, 0, 0, 1, 1, 0, 1, 2, 0, 2, -1, 1, 1, 2, 0, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.41990000009536743, 0.5138999819755554, 0.531499981880188, 0.6425999999046326, 0.6312000155448914, 0.5828999876976013, 0.7181000113487244, 0.7268999814987183, 0.6819999814033508, 0.7281000018119812, 0.771399974822998, 0.7251999974250793, 0.7232000231742859, 0.7455999851226807, 0.7833999991416931, 0.7768999934196472, 0.791100025177002, 0.6952999830245972, 0.8073999881744385, 0.7803999781608582]","[1.6774767637252808, 1.5850802659988403, 1.6354111433029175, 1.0811800956726074, 1.0716111660003662, 1.368580937385559, 0.8244263529777527, 0.8439388871192932, 0.9349048137664795, 0.8282598853111267, 0.7052711844444275, 0.8538960218429565, 0.8811044096946716, 0.8678464889526367, 0.664753794670105, 0.6860398054122925, 0.6635708808898926, 1.0627872943878174, 0.570953905582428, 0.7207179665565491]",0.7803999781608582,0.7207179665565491,142301790,408.6884412765503,4419978,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LMOA,42,1,1,False,False,"[1, 3, 1, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 2, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.19679999351501465, 0.35740000009536743, 0.39730000495910645, 0.4456999897956848, 0.6384999752044678, 0.5115000009536743, 0.5942999720573425, 0.585099995136261, 0.4880000054836273, 0.5302000045776367, 0.7021999955177307, 0.6539000272750854, 0.5593000054359436, 0.427700012922287, 0.6816999912261963, 0.6061999797821045, 0.7265999913215637, 0.6291000247001648, 0.5900999903678894, 0.7289999723434448]","[3.072726249694824, 2.3584423065185547, 1.8909045457839966, 1.7567059993743896, 1.0194936990737915, 1.51820707321167, 1.218824863433838, 1.2723504304885864, 1.7463070154190063, 1.5178866386413574, 0.8521185517311096, 1.0355967283248901, 1.4439131021499634, 2.5079824924468994, 0.9386041760444641, 1.3504648208618164, 0.8435645699501038, 1.229735016822815, 1.3997713327407837, 0.8120013475418091]",0.7289999723434448,0.8120013475418091,73462462,409.4922761917114,4491882,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
XBPG,42,1,1,False,False,"[1, 3, 0, 1, 0, 0, 1, 2, 1, 1, 1, 1, 2, -1, 0, 1, 3, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.375, 0.43299999833106995, 0.5304999947547913, 0.6315000057220459, 0.6122999787330627, 0.619700014591217, 0.6574000120162964, 0.7400000095367432, 0.6898999810218811, 0.6869000196456909, 0.6726999878883362, 0.7311999797821045, 0.6917999982833862, 0.7533000111579895, 0.7329999804496765, 0.7835999727249146, 0.7723000049591064, 0.803600013256073, 0.7849000096321106, 0.7732999920845032]","[1.7961114645004272, 1.8435715436935425, 1.5083897113800049, 1.0833839178085327, 1.1679009199142456, 1.137929916381836, 1.02663254737854, 0.7256316542625427, 0.8916416168212891, 0.9017966985702515, 1.0619124174118042, 0.8104192018508911, 0.988105297088623, 0.7483551502227783, 0.820610523223877, 0.6574962139129639, 0.6922990679740906, 0.571337878704071, 0.7051582932472229, 0.7237861752510071]",0.7732999920845032,0.7237861752510071,519657278,627.0500330924988,17582186,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ULDG,42,1,1,False,False,"[1, 3, 1, 1, 1, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 1, 3, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.23989999294281006, 0.4781000018119812, 0.5965999960899353, 0.618399977684021, 0.6298999786376953, 0.7289000153541565, 0.6455000042915344, 0.6470999717712402, 0.7490000128746033, 0.7451000213623047, 0.6819999814033508, 0.739799976348877, 0.7351999878883362, 0.7260000109672546, 0.739799976348877, 0.7595000267028809, 0.7843000292778015, 0.8069999814033508, 0.7918999791145325, 0.758400022983551]","[2.244180202484131, 1.6282590627670288, 1.1295497417449951, 1.1130706071853638, 1.1164034605026245, 0.7740478515625, 1.0701488256454468, 1.041643500328064, 0.7236652970314026, 0.7427243590354919, 1.0110502243041992, 0.7864797115325928, 0.819067120552063, 0.8365013599395752, 0.7986237406730652, 0.708177924156189, 0.6639542579650879, 0.5813865661621094, 0.6581460237503052, 0.7512220144271851]",0.758400022983551,0.7512220144271851,689579982,705.4067330360413,10228458,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MLFX,42,1,1,False,False,"[1, 1, 1, 2, -1, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.19539999961853027, 0.4767000079154968, 0.5393000245094299, 0.4925999939441681, 0.5562999844551086, 0.49059998989105225, 0.6467000246047974, 0.5, 0.6208000183105469, 0.647599995136261, 0.545799970626831, 0.6427000164985657, 0.5374000072479248, 0.7245000004768372, 0.6769000291824341, 0.6919000148773193, 0.695900022983551, 0.7024999856948853, 0.6797000169754028, 0.7398999929428101]","[2.467792510986328, 1.4951162338256836, 1.2726184129714966, 1.455959677696228, 1.2000168561935425, 1.4504140615463257, 0.989975094795227, 1.537304401397705, 1.119694709777832, 1.023390769958496, 1.516494870185852, 1.13749361038208, 1.3821600675582886, 0.8033940196037292, 0.9372024536132812, 0.9242817163467407, 0.8929572105407715, 0.8717960119247437, 0.9710950255393982, 0.7780650854110718]",0.7398999929428101,0.7780650854110718,45534782,409.9123551845551,604810,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PYAL,42,1,1,False,False,"[1, 3, 0, 1, 1, 0, 2, -1, 1, 1, 3, 0, 1, 2, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.35179999470710754, 0.4316999912261963, 0.5562999844551086, 0.6532999873161316, 0.7044000029563904, 0.7279000282287598, 0.7296000123023987, 0.7621999979019165, 0.7023000121116638, 0.7634999752044678, 0.7383999824523926, 0.7858999967575073, 0.7710000276565552, 0.7605000138282776, 0.7864999771118164, 0.7572000026702881, 0.8008000254631042, 0.8223000168800354, 0.8083000183105469, 0.807200014591217]","[1.8913463354110718, 1.8211976289749146, 1.373213768005371, 1.0217286348342896, 0.86813884973526, 0.770133912563324, 0.7906083464622498, 0.695775032043457, 0.8935300707817078, 0.6894491314888, 0.7886448502540588, 0.6334264874458313, 0.687338650226593, 0.7218594551086426, 0.6651405692100525, 0.7565343976020813, 0.5995920300483704, 0.5394836068153381, 0.5745822787284851, 0.581281840801239]",0.807200014591217,0.581281840801239,234031998,637.9454152584076,4717130,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KDPS,42,1,1,False,False,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 1, 0, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.3698999881744385, 0.4900999963283539, 0.4724000096321106, 0.6370999813079834, 0.5544999837875366, 0.6326000094413757, 0.6967999935150146, 0.6175000071525574, 0.567300021648407, 0.6987000107765198, 0.7315999865531921, 0.7382000088691711, 0.7204999923706055, 0.6373000144958496, 0.7354999780654907, 0.6747000217437744, 0.7156000137329102, 0.7631000280380249, 0.6996999979019165, 0.704800009727478]","[1.8573168516159058, 1.4919404983520508, 1.583373785018921, 1.063452124595642, 1.43430757522583, 1.0892292261123657, 0.8754169940948486, 1.2142918109893799, 1.431968092918396, 0.8658934831619263, 0.773439884185791, 0.7521079778671265, 0.8281422853469849, 1.1675190925598145, 0.7721172571182251, 1.0000971555709839, 0.8793883919715881, 0.7012736797332764, 0.9281747341156006, 0.9270620346069336]",0.704800009727478,0.9270620346069336,45015358,420.6035830974579,2171434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
